,cidade,date,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased,total_recovered
1128,Jerusalem,2020-03-11,,,,0.0,0.0,0.0
1129,Jerusalem,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0
1130,Jerusalem,2020-03-13,4.0,0.0,0.0,4.0,0.0,0.0
1131,Jerusalem,2020-03-14,1.0,0.0,0.0,5.0,0.0,0.0
1132,Jerusalem,2020-03-15,3.0,0.0,0.0,8.0,0.0,0.0
1133,Jerusalem,2020-03-16,5.0,0.0,0.0,13.0,0.0,0.0
1134,Jerusalem,2020-03-17,9.0,0.0,0.0,22.0,0.0,0.0
1135,Jerusalem,2020-03-18,9.0,0.0,0.0,31.0,0.0,0.0
1136,Jerusalem,2020-03-19,6.0,0.0,0.0,37.0,0.0,0.0
1137,Jerusalem,2020-03-20,1.0,1.0,0.0,38.0,1.0,0.0
1138,Jerusalem,2020-03-21,18.0,0.0,0.0,56.0,1.0,0.0
1139,Jerusalem,2020-03-22,8.0,0.0,0.0,64.0,1.0,0.0
1140,Jerusalem,2020-03-23,12.0,0.0,0.0,76.0,1.0,0.0
1141,Jerusalem,2020-03-24,22.0,0.0,1.0,98.0,1.0,1.0
1142,Jerusalem,2020-03-25,25.0,0.0,0.0,123.0,1.0,1.0
1143,Jerusalem,2020-03-26,6.0,1.0,0.0,129.0,2.0,1.0
1144,Jerusalem,2020-03-27,7.0,0.0,4.0,136.0,2.0,5.0
1145,Jerusalem,2020-03-28,26.0,0.0,0.0,162.0,2.0,5.0
1146,Jerusalem,2020-03-29,35.0,2.0,1.0,197.0,4.0,6.0
1147,Jerusalem,2020-03-30,96.0,0.0,1.0,293.0,4.0,7.0
1148,Jerusalem,2020-03-31,56.0,0.0,2.0,349.0,4.0,9.0
1149,Jerusalem,2020-04-01,124.0,2.0,3.0,473.0,6.0,12.0
1150,Jerusalem,2020-04-02,130.0,1.0,5.0,603.0,7.0,17.0
1151,Jerusalem,2020-04-03,111.0,0.0,3.0,714.0,7.0,20.0
1152,Jerusalem,2020-04-04,109.0,1.0,3.0,823.0,8.0,23.0
1153,Jerusalem,2020-04-05,156.0,2.0,5.0,979.0,10.0,28.0
1154,Jerusalem,2020-04-06,64.0,1.0,8.0,1043.0,11.0,36.0
1155,Jerusalem,2020-04-07,95.0,0.0,4.0,1138.0,11.0,40.0
1156,Jerusalem,2020-04-08,114.0,1.0,1.0,1252.0,12.0,41.0
1157,Jerusalem,2020-04-09,142.0,0.0,4.0,1394.0,12.0,45.0
1158,Jerusalem,2020-04-10,117.0,2.0,5.0,1511.0,14.0,50.0
1159,Jerusalem,2020-04-11,122.0,1.0,1.0,1633.0,15.0,51.0
1160,Jerusalem,2020-04-12,138.0,2.0,16.0,1771.0,17.0,67.0
1161,Jerusalem,2020-04-13,107.0,1.0,6.0,1878.0,18.0,73.0
1162,Jerusalem,2020-04-14,79.0,1.0,14.0,1957.0,19.0,87.0
1163,Jerusalem,2020-04-15,69.0,1.0,6.0,2026.0,20.0,93.0
1164,Jerusalem,2020-04-16,53.0,0.0,7.0,2079.0,20.0,100.0
1165,Jerusalem,2020-04-17,56.0,2.0,5.0,2135.0,22.0,105.0
1166,Jerusalem,2020-04-18,57.0,1.0,15.0,2192.0,23.0,120.0
1167,Jerusalem,2020-04-19,115.0,1.0,27.0,2307.0,24.0,147.0
1168,Jerusalem,2020-04-20,80.0,2.0,37.0,2387.0,26.0,184.0
1169,Jerusalem,2020-04-21,79.0,3.0,11.0,2466.0,29.0,195.0
1170,Jerusalem,2020-04-22,65.0,1.0,6.0,2531.0,30.0,201.0
1171,Jerusalem,2020-04-23,49.0,1.0,39.0,2580.0,31.0,240.0
1172,Jerusalem,2020-04-24,98.0,0.0,31.0,2678.0,31.0,271.0
1173,Jerusalem,2020-04-25,59.0,0.0,54.0,2737.0,31.0,325.0
1174,Jerusalem,2020-04-26,12.0,0.0,137.0,2749.0,31.0,462.0
1175,Jerusalem,2020-04-27,25.0,0.0,90.0,2774.0,31.0,552.0
1176,Jerusalem,2020-04-28,55.0,0.0,184.0,2829.0,31.0,736.0
1177,Jerusalem,2020-04-29,32.0,0.0,155.0,2861.0,31.0,891.0
1178,Jerusalem,2020-04-30,51.0,1.0,200.0,2912.0,32.0,1091.0
1179,Jerusalem,2020-05-01,45.0,0.0,100.0,2957.0,32.0,1191.0
1180,Jerusalem,2020-05-02,19.0,0.0,97.0,2976.0,32.0,1288.0
1181,Jerusalem,2020-05-03,4.0,0.0,95.0,2980.0,32.0,1383.0
1182,Jerusalem,2020-05-04,4.0,0.0,42.0,2984.0,32.0,1425.0
1183,Jerusalem,2020-05-05,6.0,0.0,105.0,2990.0,32.0,1530.0
1184,Jerusalem,2020-05-06,30.0,0.0,101.0,3020.0,32.0,1631.0
1185,Jerusalem,2020-05-07,10.0,0.0,37.0,3030.0,32.0,1668.0
1186,Jerusalem,2020-05-08,8.0,0.0,74.0,3038.0,32.0,1742.0
1187,Jerusalem,2020-05-09,1.0,0.0,33.0,3039.0,32.0,1775.0
1188,Jerusalem,2020-05-10,1.0,1.0,44.0,3040.0,33.0,1819.0
1189,Jerusalem,2020-05-11,6.0,1.0,145.0,3046.0,34.0,1964.0
1190,Jerusalem,2020-05-12,6.0,0.0,64.0,3052.0,34.0,2028.0
1191,Jerusalem,2020-05-13,19.0,0.0,48.0,3071.0,34.0,2076.0
1192,Jerusalem,2020-05-14,2.0,1.0,82.0,3073.0,35.0,2158.0
1193,Jerusalem,2020-05-15,3.0,0.0,57.0,3076.0,35.0,2215.0
1194,Jerusalem,2020-05-16,0.0,0.0,30.0,3076.0,35.0,2245.0
1195,Jerusalem,2020-05-17,0.0,1.0,43.0,3076.0,36.0,2288.0
1196,Jerusalem,2020-05-18,6.0,0.0,74.0,3082.0,36.0,2362.0
1197,Jerusalem,2020-05-19,2.0,0.0,34.0,3084.0,36.0,2396.0
1198,Jerusalem,2020-05-20,1.0,0.0,25.0,3085.0,36.0,2421.0
1199,Jerusalem,2020-05-21,2.0,0.0,54.0,3087.0,36.0,2475.0
1200,Jerusalem,2020-05-22,4.0,0.0,44.0,3091.0,36.0,2519.0
1201,Jerusalem,2020-05-23,0.0,0.0,18.0,3091.0,36.0,2537.0
1202,Jerusalem,2020-05-24,2.0,0.0,46.0,3093.0,36.0,2583.0
1203,Jerusalem,2020-05-25,7.0,0.0,58.0,3100.0,36.0,2641.0
1204,Jerusalem,2020-05-26,3.0,0.0,13.0,3103.0,36.0,2654.0
1205,Jerusalem,2020-05-27,5.0,0.0,11.0,3108.0,36.0,2665.0
1206,Jerusalem,2020-05-28,9.0,0.0,17.0,3117.0,36.0,2682.0
1207,Jerusalem,2020-05-29,55.0,0.0,21.0,3172.0,36.0,2703.0
1208,Jerusalem,2020-05-30,7.0,0.0,6.0,3179.0,36.0,2709.0
1209,Jerusalem,2020-05-31,38.0,0.0,5.0,3217.0,36.0,2714.0
1210,Jerusalem,2020-06-01,12.0,0.0,11.0,3229.0,36.0,2725.0
1211,Jerusalem,2020-06-02,29.0,0.0,8.0,3258.0,36.0,2733.0
1212,Jerusalem,2020-06-03,8.0,0.0,6.0,3266.0,36.0,2739.0
1213,Jerusalem,2020-06-04,33.0,0.0,2.0,3299.0,36.0,2741.0
1214,Jerusalem,2020-06-05,24.0,0.0,5.0,3323.0,36.0,2746.0
1215,Jerusalem,2020-06-06,6.0,0.0,3.0,3329.0,36.0,2749.0
1216,Jerusalem,2020-06-07,7.0,0.0,10.0,3336.0,36.0,2759.0
1217,Jerusalem,2020-06-08,13.0,0.0,3.0,3349.0,36.0,2762.0
1218,Jerusalem,2020-06-09,8.0,0.0,6.0,3357.0,36.0,2768.0
1219,Jerusalem,2020-06-10,11.0,0.0,8.0,3368.0,36.0,2776.0
1220,Jerusalem,2020-06-11,6.0,0.0,9.0,3374.0,36.0,2785.0
1221,Jerusalem,2020-06-12,21.0,0.0,7.0,3395.0,36.0,2792.0
1222,Jerusalem,2020-06-13,4.0,0.0,5.0,3399.0,36.0,2797.0
1223,Jerusalem,2020-06-14,6.0,0.0,6.0,3405.0,36.0,2803.0
1224,Jerusalem,2020-06-15,22.0,0.0,10.0,3427.0,36.0,2813.0
1225,Jerusalem,2020-06-16,17.0,0.0,9.0,3444.0,36.0,2822.0
1226,Jerusalem,2020-06-17,14.0,0.0,10.0,3458.0,36.0,2832.0
1227,Jerusalem,2020-06-18,26.0,0.0,9.0,3484.0,36.0,2841.0
1228,Jerusalem,2020-06-19,11.0,0.0,20.0,3495.0,36.0,2861.0
1229,Jerusalem,2020-06-20,15.0,0.0,4.0,3510.0,36.0,2865.0
1230,Jerusalem,2020-06-21,5.0,0.0,1.0,3515.0,36.0,2866.0
1231,Jerusalem,2020-06-22,37.0,0.0,36.0,3552.0,36.0,2902.0
1232,Jerusalem,2020-06-23,69.0,0.0,12.0,3621.0,36.0,2914.0
1233,Jerusalem,2020-06-24,49.0,0.0,6.0,3670.0,36.0,2920.0
1234,Jerusalem,2020-06-25,119.0,1.0,18.0,3789.0,37.0,2938.0
1235,Jerusalem,2020-06-26,36.0,1.0,17.0,3825.0,38.0,2955.0
1236,Jerusalem,2020-06-27,41.0,0.0,8.0,3866.0,38.0,2963.0
1237,Jerusalem,2020-06-28,19.0,0.0,12.0,3885.0,38.0,2975.0
1238,Jerusalem,2020-06-29,68.0,0.0,36.0,3953.0,38.0,3011.0
1239,Jerusalem,2020-06-30,101.0,0.0,12.0,4054.0,38.0,3023.0
1240,Jerusalem,2020-07-01,132.0,0.0,8.0,4186.0,38.0,3031.0
1241,Jerusalem,2020-07-02,237.0,0.0,11.0,4423.0,38.0,3042.0
1242,Jerusalem,2020-07-03,102.0,0.0,12.0,4525.0,38.0,3054.0
1243,Jerusalem,2020-07-04,132.0,0.0,7.0,4657.0,38.0,3061.0
1244,Jerusalem,2020-07-05,93.0,0.0,10.0,4750.0,38.0,3071.0
1245,Jerusalem,2020-07-06,217.0,0.0,10.0,4967.0,38.0,3081.0
1246,Jerusalem,2020-07-07,256.0,0.0,12.0,5223.0,38.0,3093.0
1247,Jerusalem,2020-07-08,190.0,1.0,27.0,5413.0,39.0,3120.0
1248,Jerusalem,2020-07-09,216.0,0.0,21.0,5629.0,39.0,3141.0
1249,Jerusalem,2020-07-10,228.0,0.0,7.0,5857.0,39.0,3148.0
1250,Jerusalem,2020-07-11,143.0,0.0,34.0,6000.0,39.0,3182.0
1251,Jerusalem,2020-07-12,167.0,0.0,43.0,6167.0,39.0,3225.0
1252,Jerusalem,2020-07-13,211.0,0.0,40.0,6378.0,39.0,3265.0
1253,Jerusalem,2020-07-14,278.0,1.0,25.0,6656.0,40.0,3290.0
1254,Jerusalem,2020-07-15,270.0,1.0,34.0,6926.0,41.0,3324.0
1255,Jerusalem,2020-07-16,340.0,0.0,33.0,7266.0,41.0,3357.0
1256,Jerusalem,2020-07-17,195.0,2.0,33.0,7461.0,43.0,3390.0
1257,Jerusalem,2020-07-18,282.0,0.0,66.0,7743.0,43.0,3456.0
1258,Jerusalem,2020-07-19,132.0,0.0,49.0,7875.0,43.0,3505.0
1259,Jerusalem,2020-07-20,307.0,0.0,58.0,8182.0,43.0,3563.0
1260,Jerusalem,2020-07-21,326.0,1.0,49.0,8508.0,44.0,3612.0
1261,Jerusalem,2020-07-22,313.0,0.0,638.0,8821.0,44.0,4250.0
1262,Jerusalem,2020-07-23,263.0,4.0,943.0,9084.0,48.0,5193.0
1263,Jerusalem,2020-07-24,414.0,0.0,244.0,9498.0,48.0,5437.0
1264,Jerusalem,2020-07-25,172.0,0.0,135.0,9670.0,48.0,5572.0
1265,Jerusalem,2020-07-26,162.0,0.0,434.0,9832.0,48.0,6006.0
1266,Jerusalem,2020-07-27,393.0,0.0,271.0,10225.0,48.0,6277.0
1267,Jerusalem,2020-07-28,327.0,1.0,274.0,10552.0,49.0,6551.0
1268,Jerusalem,2020-07-29,356.0,1.0,240.0,10908.0,50.0,6791.0
1269,Jerusalem,2020-07-30,328.0,0.0,340.0,11236.0,50.0,7131.0
1270,Jerusalem,2020-07-31,199.0,1.0,146.0,11435.0,51.0,7277.0
1271,Jerusalem,2020-08-01,121.0,1.0,69.0,11556.0,52.0,7346.0
1272,Jerusalem,2020-08-02,94.0,1.0,358.0,11650.0,53.0,7704.0
1273,Jerusalem,2020-08-03,268.0,0.0,310.0,11918.0,53.0,8014.0
1274,Jerusalem,2020-08-04,248.0,1.0,288.0,12166.0,54.0,8302.0
1275,Jerusalem,2020-08-05,257.0,0.0,318.0,12423.0,54.0,8620.0
1276,Jerusalem,2020-08-06,322.0,0.0,373.0,12745.0,54.0,8993.0
1277,Jerusalem,2020-08-07,364.0,2.0,170.0,13109.0,56.0,9163.0
1278,Jerusalem,2020-08-08,115.0,0.0,157.0,13224.0,56.0,9320.0
1279,Jerusalem,2020-08-09,132.0,2.0,430.0,13356.0,58.0,9750.0
1280,Jerusalem,2020-08-10,316.0,1.0,194.0,13672.0,59.0,9944.0
1281,Jerusalem,2020-08-11,317.0,0.0,108.0,13989.0,59.0,10052.0
1282,Jerusalem,2020-08-12,299.0,1.0,157.0,14288.0,60.0,10209.0
1283,Jerusalem,2020-08-13,263.0,0.0,192.0,14551.0,60.0,10401.0
1284,Jerusalem,2020-08-14,234.0,1.0,111.0,14785.0,61.0,10512.0
1285,Jerusalem,2020-08-15,97.0,1.0,154.0,14882.0,62.0,10666.0
1286,Jerusalem,2020-08-16,112.0,0.0,354.0,14994.0,62.0,11020.0
1287,Jerusalem,2020-08-17,235.0,0.0,167.0,15229.0,62.0,11187.0
1288,Jerusalem,2020-08-18,230.0,1.0,164.0,15459.0,63.0,11351.0
1289,Jerusalem,2020-08-19,231.0,2.0,291.0,15690.0,65.0,11642.0
1290,Jerusalem,2020-08-20,223.0,0.0,289.0,15913.0,65.0,11931.0
1291,Jerusalem,2020-08-21,254.0,0.0,160.0,16167.0,65.0,12091.0
1292,Jerusalem,2020-08-22,103.0,0.0,140.0,16270.0,65.0,12231.0
1293,Jerusalem,2020-08-23,151.0,3.0,348.0,16421.0,68.0,12579.0
1294,Jerusalem,2020-08-24,227.0,0.0,253.0,16648.0,68.0,12832.0
1295,Jerusalem,2020-08-25,237.0,2.0,135.0,16885.0,70.0,12967.0
1296,Jerusalem,2020-08-26,233.0,0.0,785.0,17118.0,70.0,13752.0
1297,Jerusalem,2020-08-27,262.0,1.0,253.0,17380.0,71.0,14005.0
1298,Jerusalem,2020-08-28,244.0,0.0,204.0,17624.0,71.0,14209.0
1299,Jerusalem,2020-08-29,104.0,0.0,140.0,17728.0,71.0,14349.0
1300,Jerusalem,2020-08-30,121.0,0.0,323.0,17849.0,71.0,14672.0
1301,Jerusalem,2020-08-31,252.0,1.0,185.0,18101.0,72.0,14857.0
1302,Jerusalem,2020-09-01,282.0,0.0,131.0,18383.0,72.0,14988.0
1303,Jerusalem,2020-09-02,407.0,0.0,192.0,18790.0,72.0,15180.0
1304,Jerusalem,2020-09-03,314.0,0.0,230.0,19104.0,72.0,15410.0
1305,Jerusalem,2020-09-04,342.0,0.0,101.0,19446.0,72.0,15511.0
1306,Jerusalem,2020-09-05,129.0,3.0,185.0,19575.0,75.0,15696.0
1307,Jerusalem,2020-09-06,345.0,0.0,271.0,19920.0,75.0,15967.0
1308,Jerusalem,2020-09-07,467.0,0.0,233.0,20387.0,75.0,16200.0
1309,Jerusalem,2020-09-08,400.0,0.0,220.0,20787.0,75.0,16420.0
1310,Jerusalem,2020-09-09,678.0,0.0,205.0,21465.0,75.0,16625.0
1311,Jerusalem,2020-09-10,453.0,0.0,278.0,21918.0,75.0,16903.0
1312,Jerusalem,2020-09-11,496.0,0.0,157.0,22414.0,75.0,17060.0
1313,Jerusalem,2020-09-12,302.0,1.0,224.0,22716.0,76.0,17284.0
1314,Jerusalem,2020-09-13,363.0,0.0,382.0,23079.0,76.0,17666.0
1315,Jerusalem,2020-09-14,592.0,0.0,309.0,23671.0,76.0,17975.0
1316,Jerusalem,2020-09-15,754.0,0.0,317.0,24425.0,76.0,18292.0
1317,Jerusalem,2020-09-16,530.0,1.0,335.0,24955.0,77.0,18627.0
1318,Jerusalem,2020-09-17,586.0,0.0,569.0,25541.0,77.0,19196.0
1319,Jerusalem,2020-09-18,598.0,0.0,394.0,26139.0,77.0,19590.0
1320,Jerusalem,2020-09-19,358.0,0.0,262.0,26497.0,77.0,19852.0
1321,Jerusalem,2020-09-20,154.0,0.0,428.0,26651.0,77.0,20280.0
1322,Jerusalem,2020-09-21,332.0,0.0,476.0,26983.0,77.0,20756.0
